,NGamma,MGamma,TGamma,NTheta,MTheta,TTheta,
101,2301328,1,6.69E-07,19,22,0.09405823,
102,7090371,1,8.21E-08,41,30,0.052537752,
103,4526585,1,2.42E-07,58,14,0.039291096,
104,6289812,1,1.18E-07,148,30,0.013579225,
105,5483857,1,1.65E-07,118,19,0.01802801,
106,9646862,1,7.32E-09,43,23,0.048870414,
107,7962480,1,5.12E-08,79,32,0.029006514,
108,3408596,1,3.87E-07,16,23,0.114349754,
109,3844941,1,3.20E-07,349,23,0.005920026,
110,6302696,1,1.17E-07,28,19,0.066480363,
111,8977239,1,2.28E-08,379,12,0.005506994,
112,7490213,1,6.70E-08,30,22,0.068103,
113,7631049,1,6.21E-08,44,24,0.050856803,
114,7858336,1,5.45E-08,17,23,0.126669333,
115,2605117,1,5.68E-07,62,25,0.034204157,
116,8455400,1,3.65E-08,39,30,0.057250985,
117,6304601,1,1.17E-07,36,23,0.047617116,
118,5330738,1,1.75E-07,51,18,0.043644507,
119,4042265,1,2.95E-07,24,21,0.069371843,
120,8272259,1,4.18E-08,75,20,0.027719527,
121,3672617,1,3.45E-07,152,21,0.013283778,
122,7535979,1,6.54E-08,19,36,0.124101365,
123,8838264,1,2.63E-08,340,24,0.005802061,
124,4729908,1,2.23E-07,66,22,0.033276974,
125,4758173,1,2.20E-07,34,22,0.063264576,
126,7475411,1,6.75E-08,43,16,0.052029996,
127,7052462,1,8.36E-08,37,24,0.049039034,
128,8605328,1,3.24E-08,103,19,0.021284198,
129,9196722,1,1.75E-08,23,30,0.095912705,
130,5274579,1,1.79E-07,46,20,0.047334137,
131,7351196,1,7.20E-08,1350,22,0.001454947,
132,8129641,1,4.60E-08,126,23,0.016321389,
133,9513363,1,1.03E-08,94,23,0.022534341,
134,2155459,1,7.28E-07,16,16,0.119927532,
135,8479791,1,3.58E-08,96,24,0.021236848,
136,8549336,1,3.39E-08,159,23,0.012645722,
137,4084561,1,2.90E-07,41,30,0.053086224,
138,9015403,1,2.18E-08,35,30,0.052226942,
139,3358249,1,3.96E-07,91,27,0.024552306,
140,3594970,1,3.57E-07,22,18,0.082462728,
141,9613441,1,8.03E-09,69,24,0.031208682,
142,5112235,1,1.91E-07,22,20,0.096899327,
143,2461836,1,6.12E-07,19,23,0.144311683,
144,7340271,1,7.25E-08,60,23,0.033370171,
145,2897295,1,4.90E-07,40,19,0.059155807,
146,7222329,1,7.70E-08,455,22,0.004236992,
147,9666309,1,6.90E-09,30,29,0.06183491,
148,7426198,1,6.93E-08,49,29,0.043495102,
149,9436332,1,1.20E-08,32,15,0.05869329,
150,2994967,1,4.68E-07,43,14,0.042716158,
151,5138931,1,1.89E-07,73,24,0.02603192,
152,5573977,1,1.59E-07,37,27,0.05609531,
153,532350,1,3.56E-06,127,18,0.016443474,
154,3852047,1,3.19E-07,37,22,0.066793315,
155,8269278,1,4.19E-08,149,15,0.01372799,
156,1928464,1,8.37E-07,300,23,0.007057201,
157,8173338,1,4.47E-08,70,20,0.026535635,
158,3661720,1,3.46E-07,30,20,0.06679766,
159,1878221,1,8.64E-07,50,22,0.04149454,
160,8477816,1,3.59E-08,197,22,0.010543568,
161,6307661,1,1.17E-07,25,26,0.09130359,
162,6555928,1,1.05E-07,51,15,0.042085081,
163,2777891,1,5.20E-07,152,21,0.013253447,
164,8967663,1,2.30E-08,33,17,0.081109961,
165,3320625,1,4.02E-07,8,18,0.255908068,
166,7942764,1,5.18E-08,12,21,0.229945184,
167,7487387,1,6.72E-08,74,29,0.026219057,
168,2916834,1,4.85E-07,312,16,0.006511527,
169,3603659,1,3.55E-07,30,22,0.064025199,
170,8606692,1,3.24E-08,27,21,0.086815097,
171,6926500,1,8.88E-08,53,20,0.042914041,
172,9506051,1,1.04E-08,77,28,0.030472292,
173,9128742,1,1.91E-08,351,21,0.00566322,
174,4732557,1,2.23E-07,112,20,0.019678447,
175,6922964,1,8.89E-08,153,25,0.013569941,
176,7530487,1,6.56E-08,9,20,0.227567018,
177,5352538,1,1.74E-07,17,25,0.096403103,
178,6492252,1,1.08E-07,34,20,0.056579798,
179,7070772,1,8.28E-08,34,20,0.052461336,
180,8384199,1,3.85E-08,30,16,0.061794706,
181,7243221,1,7.61E-08,93,18,0.021234084,
182,7027821,1,8.46E-08,29,20,0.067644294,
183,1842626,1,8.86E-07,51,18,0.03951053,
184,8464826,1,3.62E-08,18,24,0.10262946,
185,4817744,1,2.15E-07,1153,18,0.001755689,
186,7205787,1,7.76E-08,1406,20,0.001439718,
187,9613644,1,8.03E-09,28,27,0.075467863,
188,7950195,1,5.16E-08,9,25,0.233948617,
189,6913425,1,8.93E-08,36,23,0.061893856,
190,9855568,1,2.94E-09,45,27,0.041487682,
191,8208363,1,4.36E-08,478,22,0.004189864,
192,3475165,1,3.75E-07,227,22,0.008725794,
193,5662268,1,1.53E-07,36,37,0.054290541,
194,9020464,1,2.17E-08,85,21,0.026389661,
195,3794795,1,3.27E-07,387,27,0.005170402,
196,4165834,1,2.80E-07,133,30,0.01620605,
197,6278424,1,1.18E-07,145,28,0.013157385,
198,4342976,1,2.61E-07,37,24,0.054897845,
199,1628093,1,1.03E-06,57,21,0.040579273,
200,2260237,1,6.85E-07,35,19,0.052095992,
201,4742459,1,2.22E-07,22,28,0.096042643,
202,8850250,1,2.60E-08,175,14,0.010302751,
203,9636449,1,7.57E-09,26,30,0.088016451,
204,4628130,1,2.32E-07,61,23,0.034895435,
205,2145979,1,7.32E-07,71,22,0.027436931,
206,9148489,1,1.86E-08,18,27,0.100293988,
207,8056963,1,4.82E-08,267,23,0.007536465,
208,5394919,1,1.71E-07,249,13,0.008027972,
209,9742226,1,5.30E-09,345,14,0.006024835,
210,2122693,1,7.43E-07,395,23,0.005308429,
211,5431083,1,1.68E-07,112,23,0.017026007,
212,9556785,1,9.27E-09,333,23,0.005917132,
213,8158172,1,4.51E-08,29,24,0.075289202,
214,6814324,1,9.36E-08,17,30,0.147247196,
215,1491823,1,1.14E-06,23,25,0.089312369,
216,4779135,1,2.19E-07,91,21,0.021854657,
217,9689228,1,6.40E-09,103,23,0.018849207,
218,4705722,1,2.25E-07,49,19,0.046502791,
219,6584594,1,1.04E-07,38,22,0.050594023,
220,6522519,1,1.07E-07,49,19,0.036671784,
221,2582672,1,5.74E-07,2797,14,0.000716234,
222,9633122,1,7.64E-09,78,25,0.028132192,
223,8918683,1,2.42E-08,10,26,0.20585977,
224,3036614,1,4.59E-07,137,21,0.015425274,
225,1482029,1,1.15E-06,21,17,0.104913438,
226,3038658,1,4.58E-07,52,21,0.037707348,
227,3589699,1,3.57E-07,17,17,0.094495704,
228,5836824,1,1.43E-07,321,23,0.006213724,
229,9216646,1,1.70E-08,48,30,0.04217996,
230,5485097,1,1.65E-07,532,25,0.003643854,
231,3073318,1,4.50E-07,138,15,0.015505976,
232,7577313,1,6.39E-08,38,31,0.051375089,
233,6308806,1,1.17E-07,46,28,0.049632136,
234,3076684,1,4.50E-07,49,21,0.039670454,
235,2119097,1,7.43E-07,115,23,0.018732444,
236,7274919,1,7.49E-08,60,23,0.03557055,
237,7946554,1,5.17E-08,1440,20,0.001409726,
238,3453562,1,3.79E-07,33,20,0.070847231,
239,8581017,1,3.31E-08,71,27,0.029104265,
240,7646213,1,6.16E-08,43,19,0.048356417,
241,2089868,1,7.57E-07,108,14,0.017748202,
242,4646519,1,2.30E-07,69,28,0.028584755,
243,3542492,1,3.65E-07,47,14,0.041956555,
244,6441351,1,1.11E-07,60,25,0.033232699,
245,8047144,1,4.85E-08,48,16,0.041405714,
246,8984068,1,2.26E-08,63,20,0.032766423,
247,7010339,1,8.53E-08,35,21,0.058943214,
248,7803480,1,5.62E-08,38,32,0.045847264,
249,6829029,1,9.29E-08,85,26,0.024256444,
250,9294725,1,1.52E-08,84,24,0.024640057,
251,8659506,1,3.09E-08,56,21,0.034139026,
252,3807996,1,3.25E-07,36,17,0.054136681,
253,9667493,1,6.88E-09,39,25,0.055897466,
254,4502711,1,2.44E-07,58,19,0.034320027,
255,5924757,1,1.38E-07,44,21,0.049370919,
256,8007423,1,4.98E-08,55,29,0.036338557,
257,9020370,1,2.17E-08,210,17,0.00962478,
258,9604453,1,8.22E-09,24,22,0.080743138,
259,3856149,1,3.19E-07,143,21,0.014556778,
260,7378436,1,7.10E-08,148,29,0.013437274,
261,5155821,1,1.88E-07,70,19,0.028420785,
262,4560309,1,2.39E-07,157,20,0.012458759,
263,3880476,1,3.15E-07,300,25,0.00701254,
264,3301080,1,4.06E-07,26,25,0.072993131,
265,2374921,1,6.42E-07,388,17,0.00508781,
266,5030632,1,1.98E-07,137,17,0.016021514,
267,4506393,1,2.44E-07,76,15,0.026252649,
268,8407588,1,3.79E-08,27,17,0.071958947,
269,4568882,1,2.38E-07,214,18,0.009928942,
270,9907510,1,1.88E-09,168,29,0.011958137,
271,8064544,1,4.80E-08,164,20,0.011940496,
272,5614095,1,1.56E-07,351,24,0.005880336,
273,7154581,1,7.95E-08,104,29,0.019314209,
274,6807267,1,9.37E-08,174,22,0.011372224,
275,1734851,1,9.53E-07,970,14,0.0020893,
276,9294768,1,1.52E-08,157,19,0.012269785,
277,9524156,1,9.99E-09,126,26,0.01666506,
278,8063018,1,4.79E-08,198,18,0.010106031,
279,3310394,1,4.04E-07,26,20,0.083671157,
280,8991342,1,2.24E-08,33,22,0.05373478,
281,8153425,1,4.53E-08,50,20,0.04023744,
282,8619242,1,3.20E-08,77,29,0.025677103,
283,5054028,1,1.96E-07,33,24,0.057184578,
284,7032877,1,8.43E-08,94,21,0.02199426,
285,4874653,1,2.10E-07,28,15,0.077361038,
286,5124951,1,1.90E-07,47,31,0.046441842,
287,5876605,1,1.40E-07,45,19,0.041849165,
288,5104234,1,1.92E-07,33,19,0.057819869,
289,9050238,1,2.10E-08,34,34,0.057524668,
290,6208713,1,1.22E-07,41,27,0.049679874,
291,8637452,1,3.15E-08,69,23,0.026239764,
292,6738584,1,9.68E-08,266,21,0.007219948,
293,7884686,1,5.36E-08,48,21,0.044742805,
294,6616113,1,1.02E-07,22050,22,9.03E-05,
295,6239693,1,1.20E-07,47,24,0.044605538,
296,9750409,1,5.12E-09,45,21,0.044911934,
297,9097787,1,1.98E-08,68,21,0.030388009,
298,7066715,1,8.31E-08,40,29,0.051783814,
299,9697131,1,6.25E-09,18,30,0.13493114,
300,4771768,1,2.19E-07,53,20,0.041768568,
301,3919477,1,3.10E-07,195,15,0.010393956,
302,5957108,1,1.36E-07,64,22,0.030265933,
303,7884306,1,5.36E-08,775,15,0.002563017,
304,7181700,1,7.85E-08,51,20,0.037209793,
305,8738497,1,2.89E-08,50,26,0.040106905,
306,5934664,1,1.37E-07,27,25,0.081183631,
307,9224951,1,1.68E-08,60,32,0.034618551,
308,7580387,1,6.38E-08,214,24,0.009176584,
309,4042383,1,2.95E-07,196,10,0.010856551,
310,8077692,1,4.77E-08,58,27,0.036974869,
311,7164671,1,7.91E-08,736,20,0.002673783,
312,7805031,1,5.63E-08,73,24,0.029400397,
313,5559730,1,1.60E-07,28,24,0.079207805,
314,4510496,1,2.43E-07,24,27,0.075604444,
315,6309302,1,1.17E-07,256,21,0.007852926,
316,3689224,1,3.42E-07,1441,16,0.001395139,
317,3275231,1,4.11E-07,128,12,0.01555621,
318,8428031,1,3.73E-08,41,36,0.045282573,
319,8809050,1,2.70E-08,156,13,0.01207743,
320,6352318,1,1.15E-07,8,17,0.262831737,
321,9868157,1,2.67E-09,65,29,0.028598465,
322,8641995,1,3.14E-08,18,27,0.099938533,
323,2661610,1,5.51E-07,104,23,0.020428232,
324,9278439,1,1.55E-08,20,30,0.109001433,
325,8769319,1,2.80E-08,55,21,0.035908044,
326,6913362,1,8.93E-08,243,17,0.008714693,
327,8769367,1,2.80E-08,85,16,0.023876977,
328,6581759,1,1.04E-07,258,25,0.007329736,
329,8652769,1,3.11E-08,50,17,0.038853052,
330,4924382,1,2.06E-07,208,16,0.008749674,
331,7704258,1,5.97E-08,123,22,0.015652667,
332,6333195,1,1.16E-07,27,15,0.083615364,
333,9432793,1,1.20E-08,132,33,0.014593861,
334,7563357,1,6.44E-08,42,16,0.051591298,
335,6615185,1,1.02E-07,111,25,0.017615995,
336,5813344,1,1.44E-07,20,24,0.107930362,
337,4289826,1,2.66E-07,22,26,0.103162327,
338,7573537,1,6.41E-08,21,27,0.115076783,
339,3790308,1,3.28E-07,89,22,0.02238596,
340,7813968,1,5.59E-08,338,17,0.005948193,
341,7284563,1,7.45E-08,142,28,0.012066598,
342,6454492,1,1.10E-07,80,25,0.026171103,
343,6740065,1,9.67E-08,323,19,0.006376447,
344,7625240,1,6.24E-08,40,28,0.046188183,
345,9295425,1,1.51E-08,47,15,0.04782407,
346,9812100,1,3.84E-09,12,30,0.150665461,
347,4828879,1,2.14E-07,73,25,0.028754172,
348,4376969,1,2.57E-07,587,21,0.003323854,
349,5240481,1,1.82E-07,42,28,0.052164688,
350,8801431,1,2.73E-08,273,15,0.007294943,
351,8762074,1,2.83E-08,35,33,0.056940005,
352,6181232,1,1.24E-07,26,20,0.08226096,
353,8575548,1,3.32E-08,49,24,0.041240609,
354,8700217,1,2.99E-08,28,28,0.069515151,
355,7922793,1,5.25E-08,95,15,0.021499868,
356,4418514,1,2.53E-07,203,30,0.009685874,
357,9874672,1,2.54E-09,90,28,0.022740173,
358,8749223,1,2.86E-08,185,27,0.011066301,
359,6911646,1,8.93E-08,41,33,0.055246943,
360,5063544,1,1.95E-07,6245,13,0.000318703,
361,5619330,1,1.56E-07,8,24,0.236905499,
362,4091311,1,2.89E-07,17,21,0.127534434,
363,3620072,1,3.53E-07,276,24,0.007517415,
364,9597266,1,8.40E-09,11,27,0.185265036,
365,6697353,1,9.86E-08,139,20,0.013364395,
366,6011524,1,1.33E-07,43,22,0.052389271,
367,2987845,1,4.69E-07,52,17,0.043258121,
368,2486156,1,6.05E-07,45,20,0.052106552,
369,1809461,1,9.05E-07,26,22,0.088789573,
370,7871979,1,5.41E-08,18,31,0.119286041,
371,9355341,1,1.38E-08,33,28,0.063846058,
372,9977516,1,4.52E-10,18,22,0.132665554,
373,9579000,1,8.77E-09,28,25,0.06024914,
374,8821557,1,2.67E-08,178,11,0.011334693,
375,7807400,1,5.62E-08,62,23,0.031799646,
376,4262882,1,2.69E-07,52,25,0.04000751,
377,2621895,1,5.62E-07,58,16,0.032550654,
378,5092889,1,1.93E-07,169,19,0.011256413,
379,5868341,1,1.41E-07,1876,17,0.001070803,
380,6355100,1,1.15E-07,35,32,0.058415964,
381,2395857,1,6.34E-07,174,15,0.012125778,
382,5347152,1,1.74E-07,250,17,0.007653561,
383,3040360,1,4.58E-07,80,21,0.026196832,
384,6411354,1,1.12E-07,487,18,0.003906453,
385,8641877,1,3.14E-08,350,25,0.005677927,
386,9982161,1,3.57E-10,14,14,0.14482762,
387,3626760,1,3.52E-07,35,22,0.064260205,
388,5094153,1,1.93E-07,68,23,0.030854648,
389,4843358,1,2.13E-07,67,26,0.026196292,
390,9386897,1,1.31E-08,125,20,0.015678631,
391,5509256,1,1.63E-07,158,20,0.012705175,
392,5169052,1,1.87E-07,30,24,0.059060447,
393,8890567,1,2.50E-08,42,35,0.043989911,
394,9695507,1,6.30E-09,118,25,0.016165652,
395,4993665,1,2.00E-07,88,24,0.02286916,
396,8748669,1,2.86E-08,89,24,0.021944939,
397,7483492,1,6.72E-08,247,25,0.008149832,
398,7816510,1,5.58E-08,132,27,0.013998485,
399,7878526,1,5.39E-08,301,15,0.006610288,
400,6931125,1,8.86E-08,253,17,0.008297731,
401,9070919,1,2.05E-08,97,21,0.019413009,
402,3855731,1,3.19E-07,86,20,0.022312796,
403,9684141,1,6.52E-09,208,28,0.009270707,
404,9355442,1,1.38E-08,82,32,0.021444754,
405,9349450,1,1.39E-08,52,25,0.038697015,
406,9541377,1,9.62E-09,4,24,0.466061066,
407,6252276,1,1.20E-07,66,28,0.032341408,
408,8700774,1,2.99E-08,60,26,0.033205971,
409,8153240,1,4.53E-08,22,28,0.10290948,
410,9450993,1,1.16E-08,60,28,0.034667083,
411,7607326,1,6.29E-08,276,16,0.007419628,
412,7485554,1,6.72E-08,15,26,0.111042281,
413,6496127,1,1.08E-07,182,19,0.011502257,
414,1741931,1,9.48E-07,80,19,0.023742585,
415,8121287,1,4.63E-08,90,23,0.025643374,
416,9575339,1,8.88E-09,19,22,0.114496541,
417,6703014,1,9.85E-08,108,26,0.018941981,
418,4987460,1,2.01E-07,73,25,0.025846016,
419,1722340,1,9.61E-07,118,15,0.017743962,
420,7471845,1,6.77E-08,48,21,0.043916679,
421,7237366,1,7.62E-08,284,16,0.006897787,
422,8358395,1,3.93E-08,105,27,0.017173628,
423,8013792,1,4.96E-08,39,25,0.048179962,
424,6114094,1,1.27E-07,34,31,0.057335487,
425,9631787,1,7.64E-09,24,29,0.0934799,
426,7942182,1,5.18E-08,31,25,0.073068054,
427,6523363,1,1.07E-07,9,20,0.257895209,
428,3245416,1,4.16E-07,26,27,0.101011593,
429,9192723,1,1.76E-08,268,21,0.007496289,
430,9588695,1,8.58E-09,78,25,0.030103804,
431,6239814,1,1.21E-07,26,19,0.071296328,
432,3135646,1,4.38E-07,197,20,0.010153983,
433,9939388,1,1.22E-09,36,24,0.058031413,
434,8723255,1,2.93E-08,53,20,0.039897139,
435,9078001,1,2.03E-08,99,22,0.022610169,
436,6028138,1,1.32E-07,52,29,0.037664458,
437,9190143,1,1.76E-08,15,33,0.14335594,
438,8233907,1,4.29E-08,91,19,0.023390084,
439,9417660,1,1.24E-08,50,25,0.041035321,
440,7767055,1,5.75E-08,100,25,0.0211542,
441,8388894,1,3.84E-08,27,17,0.072458356,
442,5102349,1,1.92E-07,45,23,0.048858285,
443,7983192,1,5.05E-08,1441,15,0.001410362,
444,9819523,1,3.68E-09,28,19,0.077064907,
445,1053116,1,1.70E-06,109,19,0.01798998,
446,6468135,1,1.09E-07,46,26,0.043392611,
447,1016461,1,1.77E-06,28,15,0.06725168,
448,3617649,1,3.53E-07,64,29,0.029240978,
449,5431237,1,1.68E-07,154,32,0.013680825,
450,3813327,1,3.24E-07,120,23,0.017614652,
451,1381037,1,1.25E-06,15,26,0.134477587,
452,8146710,1,4.55E-08,65,21,0.031085232,
453,4206197,1,2.75E-07,35,26,0.060729033,
454,7684766,1,6.02E-08,32,17,0.066105682,
455,2313006,1,6.64E-07,91,24,0.022199779,
456,8565322,1,3.34E-08,35,27,0.06493096,
457,9988831,1,2.22E-10,62,25,0.032084208,
458,9028520,1,2.15E-08,111,20,0.015223984,
459,4054982,1,2.93E-07,163,17,0.014326523,
460,3608352,1,3.54E-07,60,17,0.033697172,
461,5870273,1,1.41E-07,1166,18,0.001740275,
462,7044047,1,8.40E-08,11,29,0.173473962,
463,9434098,1,1.20E-08,6135,17,0.000321859,
464,8907238,1,2.45E-08,38,17,0.055446045,
465,6267712,1,1.19E-07,72,25,0.02882861,
466,8520498,1,3.47E-08,20,25,0.114580622,
467,8429291,1,3.73E-08,137,22,0.01302923,
468,5561962,1,1.59E-07,37,15,0.07242163,
469,2403482,1,6.32E-07,312,20,0.006479513,
470,3251505,1,4.15E-07,114,23,0.018353389,
471,4215529,1,2.74E-07,112,25,0.019326613,
472,5739594,1,1.48E-07,29,23,0.078455564,
473,3960083,1,3.05E-07,171,21,0.011170061,
474,7215519,1,7.71E-08,86,22,0.024653104,
475,6352682,1,1.15E-07,26,27,0.075937829,
476,8195586,1,4.41E-08,470,30,0.004294639,
477,7679891,1,6.05E-08,87,19,0.020822312,
478,9850904,1,3.02E-09,347,17,0.005831641,
479,9873441,1,2.56E-09,142,22,0.015665036,
480,7668618,1,6.08E-08,94,18,0.020480464,
481,2239095,1,6.93E-07,89,19,0.022276782,
482,8590704,1,3.28E-08,187,19,0.010267557,
483,6259662,1,1.19E-07,20,24,0.094007648,
484,6760877,1,9.58E-08,1747,20,0.001171442,
485,5078658,1,1.94E-07,82,20,0.022153672,
486,5403291,1,1.70E-07,28,10,0.060827678,
487,9699401,1,6.21E-09,57,31,0.035889686,
488,7227183,1,7.67E-08,535,19,0.003575047,
489,9653448,1,7.20E-09,108,22,0.018354282,
490,1151264,1,1.54E-06,40,25,0.052524144,
491,3122778,1,4.41E-07,69,18,0.026453287,
492,7711211,1,5.94E-08,272,25,0.007183459,
493,4078927,1,2.90E-07,720,15,0.002864438,
494,5442961,1,1.68E-07,42,21,0.05431544,
495,4972251,1,2.02E-07,37,25,0.058934634,
496,9427595,1,1.21E-08,36,27,0.056485132,
497,3312503,1,4.04E-07,466,19,0.00422581,
498,8670615,1,3.07E-08,50,28,0.039863455,
499,6070875,1,1.30E-07,39,30,0.060550806,
500,9038642,1,2.12E-08,334,21,0.005983506,
501,1845843,1,8.84E-07,201,24,0.010277859,
502,7424310,1,6.93E-08,54,21,0.038240408,
503,3283407,1,4.09E-07,14,23,0.120621686,
504,8354970,1,3.94E-08,46,24,0.052956234,
505,8739606,1,2.89E-08,131,17,0.016826538,
506,8042564,1,4.87E-08,28,22,0.06075632,
507,7367671,1,7.15E-08,96,14,0.023281803,
508,7666194,1,6.09E-08,27,31,0.072033062,
509,4505682,1,2.44E-07,49,25,0.043553903,
510,6558825,1,1.05E-07,55,30,0.035890556,
511,6228089,1,1.21E-07,26,22,0.080542584,
512,6882265,1,9.05E-08,92,24,0.018997351,
513,6451066,1,1.10E-07,103,26,0.018328021,
514,9485167,1,1.09E-08,25,23,0.116270914,
515,6596260,1,1.03E-07,14,21,0.135463305,
516,6979723,1,8.65E-08,543,14,0.003833622,
517,8083514,1,4.74E-08,64,19,0.032296997,
518,7672533,1,6.07E-08,57,17,0.032503349,
519,6102702,1,1.28E-07,214,16,0.009574635,
520,3550914,1,3.63E-07,74,27,0.028210454,
521,3249797,1,4.15E-07,49,17,0.039482437,
522,1662221,1,1.00E-06,70,21,0.027021947,
523,9121384,1,1.92E-08,187,30,0.011137049,
524,2925655,1,4.84E-07,27,24,0.076441486,
525,6333533,1,1.16E-07,189,28,0.010268796,
526,7416830,1,6.96E-08,41,25,0.042060633,
527,9511341,1,1.03E-08,30,28,0.069731198,
528,9452002,1,1.16E-08,65,20,0.034766518,
529,5893306,1,1.39E-07,544,23,0.003518887,
530,7224622,1,7.68E-08,50,30,0.036512059,
531,1933219,1,8.34E-07,49203,6,4.04E-05,
532,4415454,1,2.53E-07,52,23,0.034135332,
533,6495757,1,1.08E-07,58,33,0.036700892,
534,2652144,1,5.54E-07,81,18,0.02323062,
