,NGamma,MGamma,TGamma,NTheta,MTheta,TTheta,,
58,440648,1,2.54E-06,66,18,0.024231194,,
59,763866,1,6.20E-07,47,12,0.039627611,,
60,908619,1,2.02E-07,28,15,0.075050228,,
61,220430,1,7.08E-06,228,18,0.008706959,,
62,934260,1,1.41E-07,186,13,0.011191527,,
63,913332,1,1.90E-07,77,20,0.027046844,,
64,164314,1,1.02E-05,22,21,0.082535124,,
65,342701,1,3.83E-06,90,16,0.02209163,,
66,680907,1,9.39E-07,58,14,0.032627613,,
67,863432,1,3.18E-07,107,20,0.017572636,,
68,982862,1,3.48E-08,163,10,0.012582114,,
69,651634,1,1.07E-06,41,20,0.050101364,,
70,638568,1,1.13E-06,80,20,0.026563174,,
71,916675,1,1.82E-07,32,24,0.062921389,,
72,188774,1,8.59E-06,15,12,0.130273076,,
73,283145,1,5.06E-06,50,18,0.041355804,,
74,753467,1,6.52E-07,20,23,0.093559757,,
75,842399,1,3.75E-07,53,18,0.038463221,,
76,782420,1,5.57E-07,34,16,0.071723091,,
77,984158,1,3.21E-08,89,17,0.021466373,,
78,713810,1,7.99E-07,19,26,0.116474457,,
79,607806,1,1.29E-06,365,14,0.005368857,,
80,514520,1,1.89E-06,13,19,0.152339302,,
81,560751,1,1.57E-06,51,24,0.041030454,,
82,690875,1,8.96E-07,102,21,0.020816585,,
83,720195,1,7.79E-07,19,16,0.111100328,,
84,342452,1,3.85E-06,299,10,0.006585435,,
85,561013,1,1.56E-06,670,15,0.002941305,,
86,582434,1,1.44E-06,53,10,0.036618993,,
87,896780,1,2.30E-07,226,18,0.009068236,,
88,607367,1,1.29E-06,91,18,0.020129894,,
89,335698,1,3.96E-06,75,21,0.028046566,,
90,679911,1,9.43E-07,145,15,0.013450488,,
91,624272,1,1.20E-06,44,23,0.044532396,,
92,677856,1,9.51E-07,471,14,0.004170511,,
93,870117,1,2.98E-07,8,13,0.212724659,,
94,844948,1,3.67E-07,20,17,0.093305269,,
95,886124,1,2.57E-07,35,27,0.063648272,,
96,584050,1,1.42E-06,72,22,0.031201983,,
97,996521,1,6.95E-09,77,23,0.024033605,,
98,895950,1,2.31E-07,22,26,0.075973211,,
99,565174,1,1.54E-06,154,16,0.012151954,,
100,719103,1,7.80E-07,62,17,0.032497074,,
101,714673,1,7.97E-07,77,30,0.028084644,,
102,725557,1,7.58E-07,75,24,0.026558957,,
103,802215,1,4.95E-07,142,16,0.012827196,,
104,902221,1,2.17E-07,22,18,0.100735322,,
105,160609,1,1.04E-05,23,18,0.114776244,,
106,739536,1,7.06E-07,135,28,0.015351914,,
107,726679,1,7.54E-07,22,17,0.079668712,,
108,957662,1,8.88E-08,161,21,0.012188681,,
109,908648,1,2.02E-07,597,18,0.003410372,,
110,772833,1,5.88E-07,111,15,0.020266932,,
111,904706,1,2.11E-07,528,18,0.003874895,,
112,603242,1,1.32E-06,26,12,0.071734774,,
113,830762,1,4.07E-07,29,21,0.068044253,,
114,59418,1,3.16E-05,50,17,0.038020308,,
115,320964,1,4.23E-06,18,20,0.09997221,,
116,826604,1,4.20E-07,62,18,0.037656417,,
117,554068,1,1.61E-06,159,15,0.012410135,,
118,700807,1,8.56E-07,50,17,0.042513655,,
119,368050,1,3.44E-06,31,13,0.079193345,,
120,670083,1,9.85E-07,172,21,0.011536661,,
121,864000,1,3.15E-07,142,18,0.012830347,,
122,286306,1,4.96E-06,42,18,0.044351494,,
123,541773,1,1.69E-06,154,11,0.012621698,,
124,817938,1,4.43E-07,22,18,0.114378183,,
125,924989,1,1.63E-07,195,25,0.009695561,,
126,465545,1,2.29E-06,16,23,0.095513351,,
127,372978,1,3.35E-06,49,17,0.040386976,,
128,788518,1,5.37E-07,57,19,0.032116864,,
129,627777,1,1.19E-06,26,24,0.077229773,,
130,644976,1,1.10E-06,82,24,0.023447172,,
131,163775,1,1.02E-05,168,15,0.011178535,,
132,372247,1,3.37E-06,24,15,0.072148291,,
133,875294,1,2.85E-07,224,19,0.009571815,,
134,370711,1,3.40E-06,30,25,0.058902038,,
135,618809,1,1.23E-06,180,16,0.011589332,,
136,668611,1,9.92E-07,21,15,0.099427271,,
137,743731,1,6.90E-07,55,9,0.037091306,,
138,641314,1,1.11E-06,49,27,0.038206315,,
139,865332,1,3.12E-07,14,21,0.211840757,,
140,768192,1,6.03E-07,185,16,0.011088711,,
141,368603,1,3.43E-06,10,22,0.188740096,,
142,778024,1,5.73E-07,64,28,0.030368012,,
143,516937,1,1.87E-06,239,12,0.00783393,,
144,793431,1,5.23E-07,124,16,0.015731094,,
145,671573,1,9.80E-07,50,8,0.040321801,,
146,632259,1,1.16E-06,28,15,0.065394052,,
147,676549,1,9.57E-07,31,17,0.062440901,,
148,641534,1,1.12E-06,590,10,0.003380086,,
149,668797,1,9.93E-07,69,16,0.027229591,,
150,473238,1,2.22E-06,33,24,0.058628261,,
151,910261,1,1.98E-07,41,18,0.046257126,,
152,943065,1,1.21E-07,25,23,0.087207435,,
153,255164,1,5.85E-06,77,14,0.028209775,,
154,261276,1,5.65E-06,134,12,0.015069595,,
155,855620,1,3.36E-07,12,22,0.172238431,,
156,942967,1,1.20E-07,431,17,0.004456404,,
157,611690,1,1.27E-06,19,14,0.078862287,,
158,694134,1,8.83E-07,19,21,0.107107268,,
159,373835,1,3.36E-06,117,17,0.016942772,,
160,876129,1,2.83E-07,26,22,0.083425165,,
161,636828,1,1.14E-06,67,25,0.02927977,,
162,772440,1,5.87E-07,37,20,0.054188877,,
163,618125,1,1.24E-06,1254,10,0.001551134,,
164,705663,1,8.35E-07,11,15,0.177454729,,
165,868761,1,3.02E-07,74,18,0.030336417,,
166,305810,1,4.55E-06,8,13,0.278410986,,
167,939732,1,1.28E-07,286,13,0.006985724,,
168,498907,1,2.00E-06,177,10,0.011948876,,
169,721833,1,7.71E-07,26,16,0.079516766,,
170,332576,1,4.01E-06,28,15,0.068291766,,
171,727070,1,7.51E-07,13,20,0.171678799,,
172,949817,1,1.06E-07,63,22,0.033048587,,
173,898318,1,2.26E-07,72,23,0.02987421,,
174,801275,1,4.96E-07,55,25,0.034895183,,
175,767403,1,6.06E-07,19,25,0.130165693,,
176,556121,1,1.60E-06,203,14,0.009645043,,
177,947584,1,1.10E-07,177,18,0.011292607,,
178,777148,1,5.73E-07,323,16,0.006150484,,
179,859479,1,3.27E-07,59,22,0.032302766,,
180,517644,1,1.86E-06,48,26,0.039166416,,
181,881882,1,2.67E-07,190,19,0.010828951,,
182,245772,1,6.14E-06,24,17,0.089063618,,
183,756265,1,6.45E-07,50,17,0.042801398,,
184,999656,1,6.31E-10,157,19,0.012519722,,
185,222729,1,7.00E-06,54399,2,3.47E-05,,
186,839898,1,3.82E-07,45,14,0.046005814,,
187,687837,1,9.08E-07,13,17,0.169204936,,
188,723615,1,7.68E-07,186,16,0.011451266,,
189,460107,1,2.35E-06,35,18,0.066063352,,
190,924492,1,1.64E-07,229,14,0.009038951,,
191,456015,1,2.38E-06,16,21,0.105729387,,
192,430923,1,2.65E-06,781,16,0.002540947,,
193,453888,1,2.40E-06,277,18,0.007594204,,
194,570994,1,1.50E-06,97,17,0.020428993,,
195,541692,1,1.69E-06,20,19,0.092818008,,
196,713414,1,8.03E-07,249,16,0.008122727,,
197,563563,1,1.55E-06,195,24,0.010806996,,
198,604296,1,1.31E-06,48,15,0.040928212,,
199,82436,1,2.22E-05,25,14,0.077763651,,
200,880904,1,2.71E-07,220,18,0.009312144,,
201,689052,1,9.00E-07,46,15,0.03956987,,
202,462198,1,2.33E-06,720,16,0.002846554,,
203,983993,1,3.31E-08,32,15,0.060584328,,
204,138534,1,1.24E-05,73,14,0.031103133,,
205,819074,1,4.43E-07,161,13,0.012274378,,
206,330640,1,4.05E-06,32,16,0.055499698,,
207,834601,1,3.96E-07,29,28,0.06203819,,
208,159997,1,1.05E-05,30,20,0.063506093,,
209,831992,1,4.04E-07,69,20,0.029887725,,
210,874560,1,2.87E-07,24,17,0.07204535,,
211,787082,1,5.40E-07,19,20,0.093684763,,
212,893003,1,2.40E-07,32,26,0.068131548,,
213,421559,1,2.74E-06,2213,13,0.000886345,,
214,255857,1,5.82E-06,25,15,0.079588964,,
215,708565,1,8.23E-07,833,13,0.002409384,,
216,612726,1,1.26E-06,348,8,0.005767701,,
217,985675,1,2.95E-08,171,22,0.011476981,,
218,982559,1,3.57E-08,89,18,0.023893124,,
219,593450,1,1.37E-06,198,18,0.00994055,,
220,908699,1,2.01E-07,60,18,0.031880979,,
221,915945,1,1.84E-07,38,25,0.051633665,,
222,292904,1,4.83E-06,50,15,0.042294612,,
223,543509,1,1.68E-06,67,26,0.030217271,,
224,274137,1,5.31E-06,13,14,0.202432907,,
225,422201,1,2.74E-06,180,13,0.011461457,,
226,982023,1,3.71E-08,115,13,0.018430995,,
227,981973,1,3.73E-08,1007,14,0.001965199,,
228,669898,1,9.83E-07,38,24,0.049926854,,
229,612572,1,1.27E-06,53,21,0.035715081,,
230,851031,1,3.51E-07,1690,19,0.00117955,,
231,798339,1,5.05E-07,16,21,0.138154847,,
232,814603,1,4.56E-07,391,21,0.005244274,,
233,349977,1,3.71E-06,107,19,0.018643719,,
234,842958,1,3.72E-07,193,15,0.009912464,,
235,693842,1,8.83E-07,63,24,0.029862912,,
236,608119,1,1.29E-06,358,22,0.005394105,,
237,243279,1,6.22E-06,145,15,0.013851605,,
238,689446,1,8.99E-07,13,17,0.12312866,,
239,796536,1,5.11E-07,56,17,0.037973737,,
240,980104,1,4.07E-08,67,20,0.029500189,,
241,482272,1,2.15E-06,26,21,0.094516937,,
242,708018,1,8.26E-07,47,20,0.045375688,,
243,821355,1,4.35E-07,264,12,0.007807113,,
244,889584,1,2.49E-07,2052,10,0.000962551,,
245,984584,1,3.15E-08,76,13,0.025261197,,
246,808952,1,4.72E-07,46,16,0.042802199,,
247,450010,1,2.45E-06,50,28,0.042344272,,
248,442411,1,2.52E-06,20,22,0.094102047,,
249,620848,1,1.22E-06,36,20,0.052647437,,
250,869461,1,2.99E-07,104,28,0.020203975,,
251,985352,1,2.98E-08,188,20,0.010405692,,
252,517457,1,1.87E-06,122,17,0.017515286,,
253,996203,1,7.41E-09,107,27,0.019030312,,
254,666568,1,1.00E-06,67,17,0.031328874,,
255,887748,1,2.51E-07,135,13,0.014056499,,
256,998333,1,3.42E-09,35,23,0.060147591,,
257,298424,1,4.70E-06,81,27,0.025411759,,
258,561633,1,1.56E-06,566,13,0.003507357,,
259,840634,1,3.80E-07,27,24,0.079333202,,
260,296658,1,4.75E-06,36,17,0.062302652,,
261,980734,1,3.89E-08,34,20,0.068924993,,
262,943183,1,1.21E-07,24,23,0.078288919,,
263,285573,1,5.01E-06,31,18,0.068918933,,
264,170315,1,9.71E-06,151,17,0.012712629,,
265,864274,1,3.13E-07,406,14,0.005126838,,
266,792957,1,5.22E-07,2302,8,0.000881743,,
267,413747,1,2.84E-06,31,30,0.061911973,,
268,886250,1,2.56E-07,26,16,0.08226816,,
269,586749,1,1.41E-06,238,17,0.008450419,,
270,681182,1,9.38E-07,16,23,0.11802295,,
271,866693,1,3.08E-07,65,18,0.030236068,,
272,677739,1,9.52E-07,66,20,0.031175593,,
273,725409,1,7.58E-07,66,17,0.028150172,,
274,673930,1,9.68E-07,214,20,0.010430732,,
275,447124,1,2.48E-06,53,14,0.044843055,,
276,419529,1,2.77E-06,103,13,0.018477158,,
277,624021,1,1.21E-06,55,28,0.03642628,,
278,866302,1,3.09E-07,48,13,0.048586145,,
279,965062,1,7.22E-08,108,25,0.017238531,,
280,597317,1,1.35E-06,56,21,0.032909341,,
281,386786,1,3.17E-06,23,21,0.092518642,,
282,986701,1,2.69E-08,115,22,0.018676463,,
283,977159,1,4.68E-08,40,17,0.04986337,,
284,526088,1,1.80E-06,5407,8,0.000367277,,
285,880516,1,2.72E-07,18,34,0.093311547,,
286,691312,1,8.90E-07,22,18,0.076941121,,
287,963818,1,7.47E-08,52,20,0.037069586,,
288,737837,1,7.11E-07,55,16,0.035181633,,
289,839866,1,3.81E-07,22,14,0.104336033,,
290,615360,1,1.25E-06,31,23,0.071706119,,
291,554299,1,1.61E-06,39,18,0.05985133,,
292,829882,1,4.09E-07,21,26,0.088691695,,
293,544806,1,1.67E-06,38,14,0.053306545,,
294,975768,1,4.95E-08,12,20,0.187083653,,
295,780593,1,5.63E-07,22,20,0.101300936,,
296,899442,1,2.22E-07,216,17,0.009009203,,
297,863047,1,3.17E-07,3545,15,0.000556831,,
298,888612,1,2.50E-07,71,20,0.029169708,,
299,484359,1,2.13E-06,80,16,0.02632209,,
300,958109,1,8.76E-08,84,24,0.02574813,,
301,507670,1,1.93E-06,27,21,0.071734314,,
302,836189,1,3.92E-07,34,16,0.053628386,,
303,661494,1,1.02E-06,5,17,0.46051976,,
304,600493,1,1.33E-06,65,20,0.03167683,,
305,982664,1,3.52E-08,51,30,0.03857374,,
306,977989,1,4.51E-08,61,16,0.034950431,,
307,962786,1,7.69E-08,19,22,0.09878933,,
308,487928,1,2.10E-06,173,17,0.012028894,,
309,440282,1,2.55E-06,128,17,0.016401623,,
310,867383,1,3.05E-07,9,21,0.284331533,,
311,712574,1,8.06E-07,60,15,0.033668797,,
312,618325,1,1.23E-06,22,17,0.084200472,,
313,405722,1,2.93E-06,28,18,0.072631461,,
314,880468,1,2.72E-07,29,15,0.05670033,,
315,966711,1,6.90E-08,27,24,0.074548292,,
316,919592,1,1.76E-07,19,23,0.105366662,,
317,991061,1,1.77E-08,374,13,0.005416615,,
318,937614,1,1.33E-07,94,14,0.019651751,,
319,726174,1,7.54E-07,14,21,0.126755618,,
320,710707,1,8.19E-07,1347,13,0.001489799,,
321,777000,1,5.74E-07,17766,11,0.000110268,,
322,659354,1,1.04E-06,415,11,0.004710386,,
323,645973,1,1.10E-06,113,26,0.016544583,,
324,982597,1,3.55E-08,90,18,0.02302555,,
325,911515,1,1.93E-07,138,16,0.014350092,,
326,202854,1,7.88E-06,18,11,0.102782755,,
327,898707,1,2.27E-07,41,21,0.053600886,,
328,692022,1,8.90E-07,67,25,0.028107052,,
329,935187,1,1.38E-07,104,20,0.020302517,,
330,700385,1,8.58E-07,26,20,0.076348555,,
331,955350,1,9.26E-08,16,23,0.153178012,,
332,787243,1,5.41E-07,60,15,0.037797981,,
333,834421,1,3.98E-07,187,16,0.01061195,,
334,677444,1,9.49E-07,19,20,0.111652713,,
335,459198,1,2.36E-06,49,20,0.042036682,,
336,595116,1,1.36E-06,110,21,0.018218638,,
337,674296,1,9.66E-07,115,18,0.019709269,,
338,212377,1,7.41E-06,38,17,0.046715183,,
339,874949,1,2.86E-07,46,21,0.046364661,,
340,474655,1,2.21E-06,64,23,0.029961556,,
341,336386,1,3.95E-06,44,17,0.040440884,,
342,797715,1,5.08E-07,35,25,0.056477389,,
343,959488,1,8.43E-08,20,17,0.097026023,,
344,981040,1,3.87E-08,43,20,0.054780854,,
345,168354,1,9.90E-06,52,19,0.039842419,,
346,644647,1,1.10E-06,191,18,0.011237447,,
347,453065,1,2.42E-06,11,19,0.139319872,,
348,943425,1,1.19E-07,24,29,0.09574928,,
349,589262,1,1.39E-06,12,28,0.188083247,,
350,637197,1,1.14E-06,46,18,0.042171386,,
351,761329,1,6.27E-07,49,27,0.040363769,,
352,911992,1,1.93E-07,59,15,0.034862415,,
353,209381,1,7.55E-06,66,11,0.032817919,,
354,684270,1,9.23E-07,9,14,0.23888619,,
355,617130,1,1.24E-06,76,20,0.026839548,,
356,212476,1,7.42E-06,42,23,0.047955901,,
357,761381,1,6.27E-07,14,18,0.125803415,,
358,358070,1,3.59E-06,72,17,0.027923376,,
359,733906,1,7.26E-07,19,23,0.107011018,,
360,511772,1,1.91E-06,67,21,0.034804063,,
361,873467,1,2.91E-07,135,19,0.013546122,,
362,347632,1,3.76E-06,6,12,0.301176911,,
363,865722,1,3.11E-07,69,23,0.029516519,,
364,532399,1,1.76E-06,40,14,0.049721992,,
365,781803,1,5.58E-07,62,21,0.031017088,,
366,962149,1,7.83E-08,23,17,0.075127117,,
367,602723,1,1.32E-06,949,14,0.002170236,,
368,876649,1,2.82E-07,14,23,0.122450926,,
369,462018,1,2.33E-06,29,20,0.081525252,,
370,828016,1,4.17E-07,28,17,0.073064438,,
371,808945,1,4.72E-07,35,20,0.064348432,,
372,411992,1,2.86E-06,98,19,0.022297117,,
373,496609,1,2.03E-06,21,26,0.111305872,,
374,908767,1,2.00E-07,26,16,0.09421002,,
375,575345,1,1.48E-06,34,18,0.062316417,,
376,929138,1,1.53E-07,26,21,0.0659787,,
377,934194,1,1.41E-07,108,20,0.019609473,,
378,667481,1,9.96E-07,37,16,0.058457711,,
379,428617,1,2.67E-06,27,20,0.073910368,,
380,953824,1,9.62E-08,21,23,0.091654453,,
381,597843,1,1.35E-06,40,10,0.057416429,,
382,487860,1,2.10E-06,18,19,0.097598057,,
383,397433,1,3.03E-06,16,26,0.110154435,,
384,906305,1,2.06E-07,18,23,0.084877007,,
385,934063,1,1.41E-07,37,19,0.055487184,,
386,713993,1,8.03E-07,24,24,0.088028809,,
387,566277,1,1.53E-06,40,21,0.055821119,,
388,917920,1,1.80E-07,8,27,0.214676315,,
389,664654,1,1.01E-06,270,20,0.007584247,,
390,610063,1,1.28E-06,16,16,0.128753443,,
391,337688,1,3.92E-06,318,14,0.0063067,,
392,671834,1,9.77E-07,113,25,0.017301011,,
393,675278,1,9.66E-07,145,22,0.014315794,,
394,529860,1,1.78E-06,193,17,0.010080369,,
395,983808,1,3.32E-08,60,20,0.034905048,,
396,526709,1,1.80E-06,43,16,0.041253014,,
397,106476,1,1.67E-05,20,16,0.146048899,,
398,880136,1,2.73E-07,73,22,0.027391549,,
399,799999,1,4.98E-07,1777,13,0.001112244,,
400,537471,1,1.72E-06,34,19,0.055232861,,
401,773783,1,5.86E-07,161,18,0.012245211,,
402,999016,1,1.81E-09,118,24,0.017401641,,
403,511914,1,1.91E-06,21,17,0.099988525,,
404,341094,1,3.87E-06,28,15,0.067240211,,
405,841676,1,3.77E-07,18,30,0.131058602,,
406,650712,1,1.07E-06,190,22,0.010870712,,
407,634359,1,1.15E-06,104,12,0.017790831,,
408,732644,1,7.29E-07,42,20,0.045993212,,
409,765400,1,6.13E-07,113,8,0.018120995,,
410,997525,1,4.92E-09,86,17,0.021724635,,
411,802134,1,4.93E-07,17,18,0.131560509,,
412,922147,1,1.68E-07,463,22,0.004236079,,
413,596456,1,1.35E-06,25,23,0.080578044,,
414,888034,1,2.53E-07,86,18,0.025085033,,
415,794984,1,5.16E-07,140,18,0.01308996,,
416,656241,1,1.05E-06,76,19,0.026108485,,
417,548891,1,1.65E-06,52,14,0.031768837,,
418,979909,1,4.12E-08,19,22,0.108815151,,
419,915037,1,1.85E-07,153,25,0.013604923,,
420,536191,1,1.73E-06,48,18,0.043931085,,
421,797713,1,5.07E-07,17,20,0.107799474,,
422,792680,1,5.24E-07,301,11,0.006918453,,
423,542712,1,1.68E-06,636,20,0.003115185,,
424,999067,1,1.83E-09,38,20,0.045174323,,
425,851036,1,3.49E-07,82,25,0.023672695,,
426,940552,1,1.26E-07,101,17,0.02257251,,
427,516079,1,1.88E-06,159,15,0.012189554,,
428,346112,1,3.78E-06,20,26,0.091582623,,
429,844727,1,3.67E-07,70,17,0.027090629,,
430,474292,1,2.22E-06,96,12,0.02137895,,
431,805821,1,4.80E-07,22,22,0.081752214,,
432,641146,1,1.12E-06,22,18,0.07276246,,
433,959483,1,8.40E-08,54,19,0.040910143,,
434,864182,1,3.13E-07,50,29,0.040422966,,
435,453429,1,2.41E-06,37,26,0.048205995,,
436,892283,1,2.41E-07,66,15,0.03155212,,
437,815879,1,4.51E-07,17,19,0.160691146,,
438,832537,1,4.02E-07,13,22,0.150444577,,
439,379746,1,3.26E-06,38,18,0.052670546,,
440,656447,1,1.05E-06,8,20,0.197177882,,
441,837131,1,3.90E-07,14,21,0.129445366,,
442,289483,1,4.90E-06,269,20,0.00687629,,
443,816812,1,4.49E-07,15,24,0.123146093,,
444,742129,1,6.95E-07,68,15,0.031420472,,
445,285423,1,5.02E-06,171,12,0.011709612,,
446,541887,1,1.69E-06,183,20,0.010363323,,
447,890309,1,2.46E-07,39,10,0.048211517,,
448,875766,1,2.84E-07,25,20,0.082947821,,
449,939215,1,1.29E-07,53,24,0.04038842,,
450,648898,1,1.08E-06,68,16,0.029025368,,
451,748999,1,6.72E-07,33,15,0.059957572,,
452,409686,1,2.88E-06,29,23,0.067196083,,
453,966565,1,6.92E-08,36,24,0.05930521,,
454,914855,1,1.87E-07,46,18,0.045832655,,
455,203032,1,7.87E-06,37,20,0.059564086,,
456,456356,1,2.38E-06,13,18,0.183493271,,
457,777782,1,5.73E-07,12,18,0.155038573,,
458,802553,1,4.91E-07,174,20,0.011194629,,
459,269837,1,5.40E-06,76,18,0.023241976,,
460,681106,1,9.34E-07,10,27,0.203732287,,
461,748928,1,6.68E-07,49,25,0.043374281,,
462,172314,1,9.63E-06,40,13,0.056660361,,
463,969120,1,6.42E-08,32,23,0.058271839,,
464,516009,1,1.88E-06,43,22,0.051509254,,
465,593941,1,1.37E-06,17,20,0.089980022,,
466,959251,1,8.46E-08,406,16,0.004834178,,
467,775107,1,5.80E-07,63,26,0.032306499,,
468,746300,1,6.79E-07,25,16,0.076139543,,
469,770205,1,5.97E-07,75,28,0.026155392,,
470,896744,1,2.32E-07,144,18,0.014187996,,
471,290492,1,4.89E-06,134,21,0.014945461,,
472,986309,1,2.76E-08,106,17,0.018800683,,
473,363858,1,3.50E-06,31,17,0.060872445,,
474,961951,1,8.01E-08,108,8,0.018469349,,
475,862857,1,3.17E-07,51,15,0.044186741,,
476,689279,1,9.02E-07,35,20,0.055837764,,
477,958565,1,8.64E-08,10,20,0.265912548,,
478,670543,1,9.83E-07,523,12,0.003969782,,
479,952043,1,1.01E-07,134,19,0.013901588,,
480,803838,1,4.89E-07,13,24,0.148307144,,
481,891763,1,2.43E-07,20,14,0.097995514,,
482,849877,1,3.54E-07,18,24,0.134037355,,
483,400635,1,2.99E-06,70,10,0.030606568,,
484,244356,1,6.18E-06,21,11,0.108686341,,
485,705226,1,8.36E-07,83,26,0.024109408,,
486,646197,1,1.09E-06,8382,8,0.000235412,,
487,934190,1,1.41E-07,76,24,0.025301837,,
488,367025,1,3.45E-06,194,11,0.010692452,,
489,913654,1,1.90E-07,20,22,0.094257193,,
490,796781,1,5.10E-07,33,21,0.055401024,,
491,838820,1,3.85E-07,31,24,0.067297887,,
492,752016,1,6.59E-07,113,16,0.01809492,,
493,318831,1,4.27E-06,50,13,0.035522258,,
494,751379,1,6.61E-07,43,24,0.042613405,,
495,980241,1,4.03E-08,40,22,0.049629082,,
496,658298,1,1.04E-06,46,20,0.047467716,,
497,104842,1,1.71E-05,15,16,0.111226814,,
498,685778,1,9.13E-07,110,23,0.017801582,,
499,755284,1,6.50E-07,41,17,0.046294851,,
500,505837,1,1.95E-06,27,16,0.079382168,,
501,818405,1,4.43E-07,26,17,0.099846021,,
502,716657,1,7.90E-07,19,13,0.104262553,,
503,489448,1,2.08E-06,90,13,0.021830859,,
504,870363,1,2.99E-07,69,14,0.028281426,,
505,743369,1,6.89E-07,70,22,0.031246549,,
506,935452,1,1.38E-07,423,12,0.005054719,,
507,215284,1,7.30E-06,26,19,0.064594892,,
508,656231,1,1.04E-06,120,23,0.016160245,,
509,941006,1,1.25E-07,46,18,0.04859394,,
510,401328,1,2.98E-06,17,14,0.097325896,,
511,959466,1,8.49E-08,11,27,0.139429145,,
512,988061,1,2.45E-08,132,27,0.014450641,,
513,959868,1,8.32E-08,19,17,0.101425645,,
514,954480,1,9.52E-08,16,14,0.175983379,,
515,570215,1,1.51E-06,1117,10,0.001850629,,
516,940257,1,1.28E-07,52,27,0.037326108,,
517,661359,1,1.02E-06,9,22,0.219430451,,
518,731778,1,7.33E-07,53,14,0.038654282,,
519,838600,1,3.86E-07,144,16,0.012689534,,
520,663217,1,1.01E-06,27,15,0.089406824,,
521,638084,1,1.13E-06,90,22,0.020226097,,
522,906036,1,2.06E-07,44,27,0.043612593,,
523,870072,1,2.98E-07,53,21,0.038366614,,
524,678691,1,9.48E-07,106,13,0.020002746,,
525,980257,1,4.04E-08,60,19,0.033797295,,
526,949373,1,1.07E-07,156,22,0.01334425,,
527,355155,1,3.63E-06,42,18,0.048238256,,
528,580274,1,1.45E-06,108,15,0.019018927,,
529,759567,1,6.34E-07,7,21,0.374501048,,
530,553912,1,1.61E-06,21,13,0.106648682,,
531,785888,1,5.43E-07,16,24,0.150129148,,
532,933076,1,1.43E-07,802,12,0.00253184,,
533,625984,1,1.20E-06,273,11,0.007062606,,
534,906055,1,2.07E-07,88,21,0.022627746,,
